epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6257,1.76594,3.04063,0.98136,0.24292,0.3069,0.22472,0.09774,1.76075,1.78525,1.01008,0.000415559,0.000415559,0.000415559
2,129.994,1.68821,1.96703,0.95985,0.28664,0.31273,0.22098,0.09304,1.82527,1.65313,1.00897,0.000823986,0.000823986,0.000823986
3,194.201,1.6839,1.67028,0.96143,0.27329,0.31933,0.23569,0.10035,1.79315,1.62611,1.01041,0.00122416,0.00122416,0.00122416
4,257.741,1.66192,1.5501,0.95244,0.29219,0.33166,0.257,0.1182,1.7598,1.61525,1.01781,0.00121287,0.00121287,0.00121287
5,320.839,1.60692,1.48315,0.94557,0.35135,0.32985,0.27409,0.12378,1.79352,1.54685,1.02046,0.0012005,0.0012005,0.0012005
6,383.892,1.56664,1.4274,0.93236,0.35014,0.31923,0.26623,0.12672,1.7169,1.47253,0.99997,0.00118812,0.00118812,0.00118812
7,447.375,1.56896,1.39949,0.93125,0.34706,0.31551,0.27726,0.13108,1.74878,1.54721,1.02146,0.00117575,0.00117575,0.00117575
8,510.811,1.52786,1.38114,0.92829,0.29747,0.30371,0.26192,0.12406,1.71631,1.552,0.99677,0.00116337,0.00116337,0.00116337
9,574.051,1.51652,1.33714,0.92467,0.36434,0.35075,0.29366,0.13772,1.67038,1.4478,0.98337,0.001151,0.001151,0.001151
10,637.169,1.50397,1.34551,0.92287,0.30008,0.32394,0.28181,0.13444,1.66573,1.4488,0.99126,0.00113863,0.00113863,0.00113863
11,700.531,1.49152,1.30177,0.91476,0.34167,0.35893,0.3111,0.14919,1.65684,1.36347,0.98506,0.00112625,0.00112625,0.00112625
12,764.037,1.46782,1.27517,0.9147,0.38241,0.36324,0.31476,0.15078,1.60906,1.33834,0.97192,0.00111388,0.00111388,0.00111388
13,828.067,1.45866,1.25514,0.91372,0.37119,0.37148,0.31208,0.15113,1.61409,1.36325,0.9732,0.0011015,0.0011015,0.0011015
14,891.471,1.45773,1.25372,0.91222,0.35697,0.3571,0.31558,0.15572,1.60991,1.36907,0.98607,0.00108913,0.00108913,0.00108913
15,954.582,1.43974,1.2518,0.9097,0.36446,0.37825,0.31549,0.15623,1.62817,1.33922,0.98286,0.00107675,0.00107675,0.00107675
16,1017.75,1.42797,1.23193,0.90514,0.33113,0.33583,0.28516,0.14157,1.61207,1.43623,0.98173,0.00106437,0.00106437,0.00106437
17,1080.88,1.41697,1.21384,0.90381,0.36971,0.36495,0.32245,0.15836,1.60454,1.38069,0.97494,0.001052,0.001052,0.001052
18,1144.53,1.40872,1.20048,0.90283,0.36522,0.36582,0.31655,0.15828,1.56207,1.31301,0.97426,0.00103962,0.00103962,0.00103962
19,1207.92,1.40742,1.18803,0.89925,0.41832,0.36177,0.33076,0.16596,1.59359,1.28626,0.97194,0.00102725,0.00102725,0.00102725
20,1271.17,1.3823,1.17664,0.89802,0.39595,0.38337,0.34141,0.16868,1.58955,1.28567,0.96916,0.00101488,0.00101488,0.00101488
21,1334.56,1.38442,1.17581,0.89712,0.38987,0.3873,0.33851,0.16806,1.60191,1.26937,0.96977,0.0010025,0.0010025,0.0010025
22,1397.81,1.3854,1.16996,0.89418,0.4099,0.40189,0.34685,0.17485,1.55362,1.25892,0.96639,0.000990125,0.000990125,0.000990125
23,1461.05,1.37611,1.1572,0.89036,0.40933,0.3474,0.32726,0.16741,1.58392,1.32258,0.97852,0.00097775,0.00097775,0.00097775
24,1524.05,1.36027,1.16806,0.89651,0.38787,0.36432,0.3334,0.16718,1.57748,1.30966,0.95665,0.000965375,0.000965375,0.000965375
25,1587.04,1.38832,1.15712,0.89335,0.36692,0.32522,0.31928,0.15992,1.59167,1.34963,0.96803,0.000953,0.000953,0.000953
26,1649.87,1.35008,1.13238,0.89151,0.40055,0.37654,0.33791,0.16865,1.55723,1.27557,0.96595,0.000940625,0.000940625,0.000940625
27,1712.95,1.35721,1.136,0.88955,0.37568,0.38827,0.32999,0.1676,1.55792,1.26765,0.96989,0.00092825,0.00092825,0.00092825
28,1776.01,1.34406,1.12879,0.88827,0.37571,0.40083,0.34141,0.16737,1.58065,1.24456,0.97183,0.000915875,0.000915875,0.000915875
29,1839.84,1.34857,1.12245,0.89197,0.3734,0.36417,0.33097,0.17118,1.54999,1.29692,0.96333,0.0009035,0.0009035,0.0009035
30,1903.46,1.33902,1.1113,0.88831,0.39508,0.3864,0.33749,0.17476,1.53031,1.24606,0.94276,0.000891125,0.000891125,0.000891125
31,1967.03,1.32571,1.09622,0.88321,0.38925,0.39034,0.34699,0.17722,1.53021,1.25832,0.95043,0.00087875,0.00087875,0.00087875
32,2030.49,1.31277,1.0775,0.88387,0.38808,0.37952,0.34112,0.17235,1.53551,1.25906,0.95873,0.000866375,0.000866375,0.000866375
33,2093.93,1.32517,1.10276,0.88266,0.37749,0.3818,0.33541,0.1707,1.52512,1.26815,0.95346,0.000854,0.000854,0.000854
34,2157.27,1.30887,1.0826,0.88324,0.38237,0.3769,0.34004,0.17128,1.51927,1.25546,0.95624,0.000841625,0.000841625,0.000841625
35,2220.66,1.32169,1.06673,0.87908,0.42837,0.38763,0.34565,0.17593,1.53604,1.24689,0.96027,0.00082925,0.00082925,0.00082925
36,2283.97,1.29292,1.05621,0.87609,0.39851,0.37777,0.33468,0.17607,1.5176,1.23901,0.95437,0.000816875,0.000816875,0.000816875
37,2347.67,1.27067,1.03894,0.8775,0.38385,0.37883,0.34231,0.17318,1.5367,1.29076,0.9563,0.0008045,0.0008045,0.0008045
38,2410.84,1.30986,1.06243,0.88042,0.38657,0.39416,0.34067,0.17687,1.50472,1.21752,0.94573,0.000792125,0.000792125,0.000792125
